amr2
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Mengacu padanya hanya sebagai """"saksi"""", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya.""
(z0 / menu
                                           :mod (z7 / tol)))
                        :op3 (z8 / naik-01
                                 :ARG1 (z9 / angkutan
                                           :mod (z10 / umum))))
              :manner (z11 / cara
                           :mod (z12 / lain)
                           :purpose (z13 / meningkatkan-01
                                         :ARG1 (z14 / mobilitas)))))"
"# ::id 558
# ::annotator indoamrbart-mbart-fted
# ::snt ""Keputusan itu """"jelas salah,"""" kata ketua FTC Tim Muris.""
(z0 / kata-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Tim""
                        :op2 ""Muris"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / organisasi
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""FTC""))
                           :ARG2 (z6 / ketua)))
    :ARG1 (z7 / benar-01
              :ARG1 (z8 / putusan)))"
"# ::id 559
# ::annotator indoamrbart-mbart-fted
# ::snt Layanan Taman membeli tanah dari perkebunan Samuel Mills Damon seharga $ 22 juta.
(z0 / beli-01
    :ARG0 (z1 / taman)
    :ARG1 (z2 / tanah
              :source (z3 / perkebunan
                          :wiki ""SamuelMillsDamon""
                          :name (z4 / nama
                                    :op1 ""Samuel""
                                    :op2 ""Mills""
                                    :op3 ""Damon"")))
    :ARG3 (z5 / kuantitas-moneter
              :unit (z6 / dolar)))"
"# ::id 560
# ::annotator indoamrbart-mbart-fted
# ::snt McCartney memiliki tiga anak - perancang busana Stella, 31, Mary, 33, dan James, 25 - oleh istri pertama Linda.
(z0 / memiliki-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Stella"")
              :ARG0-of (z3 / memiliki-peran-rel-91
                           :ARG1 (z4 / orang
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""James""))
                           :ARG2 (z6 / anak)))
    :ARG1 (z7 / orang
              :wiki -
              :name (z8 / nama
                        :op1 ""Linda"")
              :ARG0-of (z9 / memiliki-peran-rel-91
                           :ARG2 (z10 / istri
                                      :ord (z11 / entitas-ordinal))))
    :time (z12 / entitas-tanggal))"
"# ::id 561
# ::annotator indoamrbart-mbart-fted
# ::snt Dalam beberapa tahun terakhir, Hampton tetap berhubungan dengan teman-teman dan tetap dalam kesulitan: ia menghadapi tuduhan pemukulan tarif dan pencurian mobil kredit.
(z0 / dan
    :op1 (z1 / tetap-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Hampton""))
             :ARG1 (z4 / kontak-01
                       :ARG0 z2
                       :ARG1 (z5 / teman))
             :time (z6 / sebelum
                       :op1 (z7 / sekarang)
                       :quant (z8 / beberapa
                                  :op1 (z9 / kuantitas-sementara
                                           :unit (z10 / tahun)))))
    :op2 (z11 / bertahan-01
              :ARG1 (z12 / dalam-masalah-02
                         :ARG1 z2))
    :time (z13 / menghadapi-04
               :ARG0 (z14 / dia)
               :ARG1 (z15 / dan
                          :op1 (z16 / menuduh-01
                                    :ARG0 z14
                                    :ARG1 z14
                                    :ARG2 (z17 / pemukulan
                                               :mod (z18 / tarif)))
                          :op2 (z19 / mencuri-01
                                    :ARG0 z14
                                    :ARG1 (z20 / mobil
                                               :ARG1-of (z21 / kredit-01))))))"
"# ::id 562
# ::annotator indoamrbart-mbart-fted
# ::snt SCO mengklaim bahwa kernel Linux memegang kekayaan intelektual UNIX yang dimiliki oleh SCO.
(z0 / kla
    :ARG0 (z2 / orang
              :wiki -
              :name (z3 / nama
                        :op1 ""SCO""))
    :ARG1 (z4 / tahan-01
              :ARG0 (z5 / perusahaan
                        :wiki -
                        :name (z6 / nama
                                  :op1 ""SCO""))
              :ARG1 (z7 / kekayaan
                        :mod (z8 / intelektual)
                        :mod (z9 / UNIX))))"
"# ::id 563
# ::annotator indoamrbart-mbart-fted
# ::snt Amrozi tidak mengungkapkan, dan tidak ditanya, identitas bosnya.
(z0 / dan
    :op1 (z1 / mengungkapkan-01
             :polarity -
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Am""
                                 :op2 ""Am""))
             :ARG1 (z4 / identitas
                       :poss (z5 / bos
                                 :poss (z6 / dia))))
    :op2 (z7 / tanyakan-01
             :polarity -
             :ARG0 z2
             :ARG1 (z8 / identitas
                       :poss z5)))"
"# ::id 564
# ::annotator indoamrbart-mbart-fted
# ::snt Mayor Jeffery mengatakan dia akan memberikan pensiun militernya untuk amal sementara dia bertugas di Yarralumla.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Mayor""
                        :op2 ""Jeffery""))
    :ARG1 (z3 / memberi-01
              :ARG0 z1
              :ARG1 (z4 / pensiun
                        :mod (z5 / militer)
                        :poss z1)
              :ARG2 (z6 / amal)
              :time (z7 / bertugas-01
                        :ARG0 z1
                        :location (z8 / kota
                                      :wiki ""Yarralumla,Yarralumla""
                                      :name (z9 / nama
                                                :op1 ""Yarralumla"")))))"
"# ::id 565
# ::annotator indoamrbart-mbart-fted
# ::snt Sisanya mengatakan mereka tidak memiliki afiliasi atau milik pihak lain.
(z0 / atau
    :op1 (z1 / afiliasi-01
             :polarity -
             :ARG0 (z2 / mereka))
    :op2 (z3 / milik-01
             :ARG0 z2
             :ARG1 (z4 / partai
                       :mod (z5 / lain))))"
"# ::id 566
# ::annotator indoamrbart-mbart-fted
# ::snt Blair menjadi pemimpin Buruh pada tahun 1994 setelah pemimpin saat itu, John Smith, meninggal karena serangan jantung.
(z0 / meninggal-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""John""
                        :op2 ""Smith"")
              :ARG0-of (z3 / memimpin-01
                           :time (z4 / entitas-tanggal)))
    :ARG1 (z5 / serangan
              :mod (z6 / jantung))
    :time (z7 / setelah
              :op1 (z8 / memimpin-01
                       :ARG0 z1
                       :time (z9 / saat
                                 :mod (z10 / itu)))))"
"# ::id 567
# ::annotator indoamrbart-mbart-fted
# ::snt Sebagai contoh, Dow turun lebih dari 1.500 poin, atau 15,6 persen, dari Mei hingga Oktober 2002, sebagian besar karena ketakutan terorisme yang didorong oleh berita utama.
(z0 / atau
    :op1 (z1 / turun-01
             :ARG0 (z2 / indeks
                       :wiki ""DowJones""
                       :name (z3 / nama
                                 :op1 ""Dow""))
             :ARG2 (z4 / lebih-dari
                       :op1 (z5 / entitas-persentase)))
    :op2 (z6 / entitas-persentase
             :domain (z7 / entitas-persentase))
    :time (z8 / interval-tanggal
              :op1 (z9 / entitas-tanggal)
              :op2 (z10 / entitas-tanggal))
    :ARG1-of (z11 / contoh-01)
    :ARG1-of (z12 / menimbulkan-01
                  :ARG0 (z13 / ketakutan-01
                             :ARG0 (z14 / terorisme)
                             :ARG1-of (z15 / dorong-01
                                           :ARG0 (z16 / berita
                                                      :mod (z17 / utama))))))"
"# ::id 568
# ::annotator indoamrbart-mbart-fted
# ::snt Kepemimpinan House Republican mengatakan mereka diharapkan untuk menghubungi anggota kembali 8 Desember untuk pemungutan suara pada RUU Omnibus.
